query_id,query_hash,num_permanent_tables_accessed,read_table_ids,num_joins,mbytes_scanned,execution_duration_ms,rows_returned,status,error_msg,source_num_joins,source_mbytes_scanned
q01.sql,17c7780e,2,"6,10",1,4.049,49.4,1,ok,,1,4.049
q02.sql,ea99996f,12,"1,2,4,5,7,8,10,13,14,15,16,20",11,107.919,32872.86,,timeout,INTERRUPT Error: Interrupted!,11,1.493
q03.sql,83808bc4,3,"2,9,13",2,38.414,282.54,1,ok,,2,39.356
q04.sql,8ae00bbe,3,"2,4,10",2,59.088,36.77,1,ok,,2,40.506
q05.sql,abd35730,18,"1,2,3,4,5,6,8,9,10,13,14,15,16,17,19,20,22,23",17,121.256,33431.31,,timeout,INTERRUPT Error: Interrupted!,17,11.589
q06.sql,e48508c5,5,"2,5,8,13,16",4,49.576,240.33,1,ok,,4,41.706
q07.sql,f5374233,5,"2,3,8,11,13",4,51.666,111.09,1,ok,,4,50.89
q08.sql,bd9d31bd,6,"2,4,6,10,12,22",5,62.426,47.73,1,ok,,5,38.907
q09.sql,cc0cb2d4,1,2,0,37.445,25.39,1,ok,,0,37.445
q10.sql,845b4122,3,"3,5,8",2,23.196,33.13,1,ok,,2,13.875
q11.sql,2b9c1845,3,"2,9,13",2,38.414,47.17,1,ok,,2,40.506
q12.sql,79c4adb0,3,"1,5,13",2,45.756,492.25,1,ok,,2,11.982
q13.sql,db04b40f,6,"1,2,6,10,22,23",5,76.729,33885.18,,timeout,INTERRUPT Error: Interrupted!,5,51.21
q14.sql,23e1d52d,6,"2,3,4,6,10,13",5,73.65,123.16,1,ok,,5,1.919
q15.sql,44f2d9e0,4,"3,4,8,11",3,33.952,228.31,1,ok,,3,23.993
q16.sql,de3a6c64,4,"4,5,10,12",3,32.464,262.16,1,ok,,3,22.401
q17.sql,08eaf47f,8,"2,6,7,8,10,13,14,22",7,44.982,32303.22,,timeout,INTERRUPT Error: Interrupted!,7,62.126
q18.sql,defb54fd,7,"3,4,5,6,8,10,12",6,48.176,90.96,1,ok,,6,35.967
q19.sql,5867e593,6,"1,2,4,10,13,23",5,94.773,60.42,1,ok,,5,41.707
q20.sql,cc3f4f85,3,"2,4,10",2,59.088,4.74,1,ok,,2,22.093
